Player,Pos,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,next_G,next_MP,next_PTS,next_TRB,next_AST,next_STL,next_BLK,next_TOV,next_FG%,next_3P%,next_eFG%,pts_change,ast_change,trb_change,mp_change,efg_change,breakout_score,Breakout,PTS_growth,AST_growth,TRB_growth,MP_growth,eFG%_growth
Cody Zeller,C,23.0,CHO,73,60,24.3,3.2,6.0,0.529,0.0,0.1,0.1,3.2,5.8,0.539,0.53,2.4,3.2,0.754,1.9,4.3,6.2,1.0,0.8,0.9,0.9,2.8,8.7,2016,62,27.8,10.3,6.5,1.6,1.0,0.9,1.0,0.571,0.0,0.571,1.6000000000000014,0.6000000000000001,0.2999999999999998,3.5,0.040999999999999925,0.38790405092965,0,1.0999999999999996,-0.6000000000000001,0.40000000000000036,0.3000000000000007,0.068
Cody Zeller,C,24.0,CHO,62,58,27.8,4.1,7.1,0.571,0.0,0.0,0.0,4.1,7.1,0.572,0.571,2.1,3.2,0.679,2.2,4.4,6.5,1.6,1.0,0.9,1.0,3.0,10.3,2017,33,19.0,7.1,5.4,0.9,0.4,0.6,1.0,0.545,0.667,0.551,-3.200000000000001,-0.7000000000000001,-1.0999999999999996,-8.8,-0.019999999999999907,-1.055622159317558,0,1.6000000000000014,0.6000000000000001,0.2999999999999998,3.5,0.040999999999999925
Cole Anthony,PG,21.0,ORL,65,65,31.7,5.5,14.0,0.391,2.0,6.0,0.338,3.5,8.0,0.432,0.464,3.3,3.9,0.854,0.5,4.9,5.4,5.7,0.7,0.3,2.6,2.6,16.3,2022,60,25.9,13.0,4.8,3.9,0.6,0.5,1.5,0.454,0.364,0.516,-3.3000000000000007,-1.8000000000000003,-0.6000000000000005,-5.800000000000001,0.05199999999999999,-0.935565071756048,0,3.4000000000000004,1.6000000000000005,0.7000000000000002,4.599999999999998,0.015000000000000013
Cole Anthony,PG,22.0,ORL,60,4,25.9,4.6,10.2,0.454,1.3,3.4,0.364,3.4,6.7,0.5,0.516,2.5,2.8,0.894,0.8,4.0,4.8,3.9,0.6,0.5,1.5,2.6,13.0,2023,81,22.4,11.6,3.8,2.9,0.8,0.5,1.6,0.435,0.338,0.496,-1.4000000000000004,-1.0,-1.0,-3.5,-0.020000000000000018,-0.7292914615115853,0,-3.3000000000000007,-1.8000000000000003,-0.6000000000000005,-5.800000000000001,0.05199999999999999
Cole Anthony,PG,23.0,ORL,81,0,22.4,4.1,9.4,0.435,1.1,3.4,0.338,3.0,6.0,0.49,0.496,2.2,2.7,0.826,0.8,3.0,3.8,2.9,0.8,0.5,1.6,2.2,11.6,2024,67,18.4,9.4,3.0,2.9,0.7,0.5,1.5,0.424,0.353,0.494,-2.1999999999999993,0.0,-0.7999999999999998,-4.0,-0.0020000000000000018,-0.5936564255299573,0,-1.4000000000000004,-1.0,-1.0,-3.5,-0.020000000000000018
Collin Sexton,PG,21.0,CLE,65,65,33.0,7.9,16.7,0.472,1.5,3.9,0.38,6.4,12.8,0.501,0.517,3.5,4.1,0.846,0.9,2.2,3.1,3.0,1.0,0.1,2.4,2.2,20.8,2020,60,35.3,24.3,3.1,4.4,1.0,0.2,2.8,0.475,0.371,0.519,3.5,1.4000000000000004,0.0,2.299999999999997,0.0020000000000000018,0.5671132621545001,0,4.100000000000001,0.0,0.20000000000000018,1.1999999999999993,0.03700000000000003
Collin Sexton,SG,22.0,CLE,60,60,35.3,8.8,18.4,0.475,1.6,4.4,0.371,7.1,14.0,0.508,0.519,5.2,6.4,0.815,1.0,2.2,3.1,4.4,1.0,0.2,2.8,2.6,24.3,2021,11,28.7,16.0,3.3,2.1,0.9,0.0,2.8,0.45,0.244,0.487,-8.3,-2.3000000000000003,0.19999999999999973,-6.599999999999998,-0.03200000000000003,-1.6906484267408541,0,3.5,1.4000000000000004,0.0,2.299999999999997,0.0020000000000000018
Collin Sexton,SG,24.0,UTA,48,15,23.9,4.9,9.8,0.506,1.0,2.5,0.393,3.9,7.2,0.546,0.558,3.4,4.1,0.819,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3,2023,78,26.6,18.7,2.6,4.9,0.8,0.2,2.1,0.487,0.394,0.549,4.399999999999999,2.0000000000000004,0.3999999999999999,2.700000000000003,-0.009000000000000008,0.8003574056128937,1,-10.0,-1.5000000000000004,-0.8999999999999999,-11.399999999999999,0.039000000000000035
Corey Brewer,SG,23.0,MIN,82,82,30.3,5.0,11.6,0.431,1.0,2.9,0.346,4.0,8.7,0.459,0.474,2.0,3.1,0.648,0.9,2.5,3.4,2.4,1.4,0.4,2.0,2.7,13.0,2010,69,21.9,8.0,2.5,1.3,1.4,0.2,1.3,0.395,0.268,0.426,-5.0,-1.0999999999999999,-0.8999999999999999,-8.400000000000002,-0.04799999999999999,-1.3477357453439949,0,7.2,1.0,-0.30000000000000027,7.5,0.09199999999999997
Corey Brewer,SF-SG,24.0,DAL,69,24,21.9,2.8,7.1,0.395,0.4,1.6,0.268,2.4,5.4,0.434,0.426,2.0,2.8,0.708,0.8,1.7,2.5,1.3,1.4,0.2,1.3,2.3,8.0,2011,59,21.8,8.9,2.5,1.5,1.2,0.3,0.9,0.434,0.26,0.47,0.9000000000000004,0.19999999999999996,0.0,-0.09999999999999787,0.043999999999999984,0.09841584822494295,0,-5.0,-1.0999999999999999,-0.8999999999999999,-8.400000000000002,-0.04799999999999999
Corey Kispert,SF,23.0,WAS,74,45,28.3,3.9,7.9,0.497,2.2,5.2,0.424,1.7,2.7,0.637,0.637,1.0,1.2,0.852,0.4,2.4,2.8,1.2,0.4,0.1,0.7,1.3,11.1,2023,80,25.8,13.4,2.8,2.0,0.5,0.2,1.2,0.486,0.383,0.602,2.3000000000000007,0.8,0.0,-2.5,-0.03500000000000003,0.09056989683979905,0,2.9000000000000004,0.09999999999999987,0.09999999999999964,4.900000000000002,0.07300000000000006
Corey Kispert,SF,24.0,WAS,80,22,25.8,4.8,9.9,0.486,2.3,6.0,0.383,2.5,3.9,0.643,0.602,1.4,2.0,0.726,0.4,2.4,2.8,2.0,0.5,0.2,1.2,1.8,13.4,2024,61,26.3,11.6,3.0,1.7,0.4,0.2,1.0,0.451,0.364,0.558,-1.8000000000000007,-0.30000000000000004,0.20000000000000018,0.5,-0.04399999999999993,-0.4404466736491062,0,2.3000000000000007,0.8,0.0,-2.5,-0.03500000000000003
Corey Maggette,SF,21.0,LAC,69,9,19.7,3.3,7.1,0.462,0.2,0.8,0.304,3.0,6.2,0.483,0.479,3.2,4.2,0.774,1.3,2.9,4.2,1.2,0.5,0.1,1.5,2.0,10.0,2001,63,25.6,11.4,3.7,1.8,0.7,0.3,1.8,0.443,0.331,0.487,1.4000000000000004,0.6000000000000001,-0.5,5.900000000000002,0.008000000000000007,0.2788660961735953,0,1.5999999999999996,0.3999999999999999,0.30000000000000027,1.8999999999999986,-0.0010000000000000009
Corey Maggette,SG,22.0,LAC,63,52,25.6,3.7,8.4,0.443,0.7,2.2,0.331,3.0,6.2,0.483,0.487,3.2,4.0,0.801,0.9,2.8,3.7,1.8,0.7,0.3,1.8,2.5,11.4,2002,64,31.3,16.8,5.0,1.9,0.9,0.3,2.3,0.444,0.35,0.484,5.4,0.09999999999999987,1.2999999999999998,5.699999999999999,-0.0030000000000000027,0.7911045688547396,1,1.4000000000000004,0.6000000000000001,-0.5,5.900000000000002,0.008000000000000007
Corey Maggette,SG,23.0,LAC,64,57,31.3,5.4,12.1,0.444,1.0,2.8,0.35,4.4,9.3,0.471,0.484,5.1,6.3,0.802,1.2,3.8,5.0,1.9,0.9,0.3,2.3,3.0,16.8,2003,73,36.0,20.7,5.9,3.1,0.9,0.2,2.8,0.447,0.329,0.485,3.8999999999999986,1.2000000000000002,0.9000000000000004,4.699999999999999,0.0010000000000000009,0.7527448714112615,1,5.4,0.09999999999999987,1.2999999999999998,5.699999999999999,-0.0030000000000000027
Corey Maggette,SF,24.0,LAC,73,72,36.0,6.2,13.9,0.447,1.0,3.2,0.329,5.2,10.7,0.482,0.485,7.2,8.5,0.848,1.3,4.6,5.9,3.1,0.9,0.2,2.8,3.0,20.7,2004,66,36.9,22.2,6.0,3.4,1.1,0.1,3.0,0.431,0.304,0.457,1.5,0.2999999999999998,0.09999999999999964,0.8999999999999986,-0.02799999999999997,0.05699814304700433,0,3.8999999999999986,1.2000000000000002,0.9000000000000004,4.699999999999999,0.0010000000000000009
Cory Joseph,SG,22.0,SAS,68,19,13.8,1.9,3.9,0.475,0.2,0.6,0.316,1.7,3.3,0.502,0.498,1.2,1.4,0.823,0.5,1.1,1.6,1.7,0.5,0.2,0.6,1.2,5.0,2014,79,18.3,6.8,2.4,2.4,0.6,0.2,0.8,0.504,0.364,0.523,1.7999999999999998,0.7,0.7999999999999998,4.5,0.025000000000000022,0.47849358079404297,0,0.5,-0.19999999999999996,-0.2999999999999998,-0.09999999999999964,0.007000000000000006
Cory Joseph,PG,23.0,SAS,79,14,18.3,2.6,5.2,0.504,0.2,0.6,0.364,2.4,4.6,0.52,0.523,1.3,1.8,0.734,0.6,1.9,2.4,2.4,0.6,0.2,0.8,1.3,6.8,2015,80,25.6,8.5,2.6,3.1,0.8,0.3,1.3,0.439,0.273,0.465,1.7000000000000002,0.7000000000000002,0.20000000000000018,7.300000000000001,-0.057999999999999996,0.29962314697565157,0,1.7999999999999998,0.7,0.7999999999999998,4.5,0.025000000000000022
Cory Joseph,SG,24.0,TOR,80,4,25.6,3.2,7.3,0.439,0.4,1.4,0.273,2.8,5.9,0.478,0.465,1.7,2.2,0.764,0.5,2.1,2.6,3.1,0.8,0.3,1.3,1.6,8.5,2016,80,25.0,9.3,2.9,3.3,0.8,0.2,1.4,0.452,0.356,0.489,0.8000000000000007,0.19999999999999973,0.2999999999999998,-0.6000000000000014,0.023999999999999966,0.058462374616357164,0,1.7000000000000002,0.7000000000000002,0.20000000000000018,7.300000000000001,-0.057999999999999996
Courtney Alexander,SG,24.0,WAS,56,28,23.7,4.0,8.5,0.47,0.1,0.3,0.278,3.9,8.1,0.478,0.476,1.8,2.2,0.81,0.8,1.9,2.6,1.5,0.6,0.1,1.1,2.0,9.8,2002,66,20.6,7.9,1.8,1.2,0.5,0.1,1.0,0.382,0.333,0.401,-1.9000000000000004,-0.30000000000000004,-0.8,-3.099999999999998,-0.07499999999999996,-0.7535616923561456,0,0.3000000000000007,0.5,0.3999999999999999,2.3999999999999986,0.043999999999999984
Courtney Lee,SG,24.0,NJN,71,66,33.5,4.8,10.9,0.436,1.1,3.2,0.338,3.7,7.7,0.476,0.485,1.9,2.2,0.869,0.8,2.7,3.5,1.7,1.3,0.3,1.1,1.8,12.5,2010,81,21.3,8.3,2.6,1.2,0.7,0.2,0.8,0.439,0.408,0.501,-4.199999999999999,-0.5,-0.8999999999999999,-12.2,0.016000000000000014,-1.1338061773347312,0,4.1,0.5,1.2000000000000002,8.3,-0.041000000000000036
Craig Smith,PF,24.0,MIN,77,11,20.1,3.9,6.9,0.563,0.0,0.1,0.0,3.9,6.7,0.572,0.563,1.7,2.6,0.665,1.6,3.0,4.6,0.8,0.5,0.2,1.2,2.8,9.4,2008,74,19.7,10.1,3.8,1.1,0.4,0.3,1.4,0.562,0.0,0.562,0.6999999999999993,0.30000000000000004,-0.7999999999999998,-0.40000000000000213,-0.0009999999999998899,-0.10978651873185709,0,2.0,0.20000000000000007,-0.5,1.4000000000000021,0.03199999999999992
Cuttino Mobley,SG,24.0,HOU,81,8,30.8,5.4,12.5,0.43,1.3,3.6,0.356,4.1,8.9,0.46,0.481,3.7,4.4,0.847,0.7,2.8,3.6,2.6,1.1,0.4,2.3,2.1,15.8,2000,79,38.0,19.5,5.0,2.5,1.1,0.3,2.1,0.434,0.357,0.471,3.6999999999999993,-0.10000000000000009,1.4,7.199999999999999,-0.010000000000000009,0.618136695433561,0,5.9,0.10000000000000009,1.3000000000000003,1.1000000000000014,-0.009000000000000008
D'Angelo Russell,PG,20.0,LAL,63,60,28.7,5.6,13.8,0.405,2.1,6.1,0.352,3.4,7.7,0.447,0.483,2.3,3.0,0.782,0.5,3.0,3.5,4.8,1.4,0.3,2.8,2.1,15.6,2017,48,25.7,15.5,3.9,5.2,0.8,0.4,3.1,0.414,0.324,0.481,-0.09999999999999964,0.40000000000000036,0.3999999999999999,-3.0,-0.0020000000000000018,-0.131374261052626,0,2.4000000000000004,1.5,0.10000000000000009,0.5,0.0050000000000000044
D'Angelo Russell,PG,21.0,BRK,48,35,25.7,5.8,14.0,0.414,1.9,5.8,0.324,3.9,8.2,0.477,0.481,2.0,2.7,0.74,0.6,3.3,3.9,5.2,0.8,0.4,3.1,1.9,15.5,2018,81,30.2,21.1,3.9,7.0,1.2,0.2,3.1,0.434,0.369,0.512,5.600000000000001,1.7999999999999998,0.0,4.5,0.031000000000000028,1.0015554335338956,1,-0.09999999999999964,0.40000000000000036,0.3999999999999999,-3.0,-0.0020000000000000018
D'Angelo Russell,PG,22.0,BRK,81,81,30.2,8.1,18.7,0.434,2.9,7.8,0.369,5.2,10.9,0.482,0.512,2.0,2.5,0.78,0.7,3.2,3.9,7.0,1.2,0.2,3.1,1.7,21.1,2019,45,32.3,23.1,3.9,6.3,1.1,0.3,3.3,0.426,0.367,0.519,2.0,-0.7000000000000002,0.0,2.099999999999998,0.007000000000000006,0.04647001920029028,0,5.600000000000001,1.7999999999999998,0.0,4.5,0.031000000000000028
D'Angelo Russell,PG,23.0,MIN,45,45,32.3,8.0,18.8,0.426,3.5,9.6,0.367,4.5,9.2,0.487,0.519,3.6,4.4,0.809,0.4,3.6,3.9,6.3,1.1,0.3,3.3,1.9,23.1,2020,42,28.5,19.0,2.6,5.8,1.1,0.4,2.7,0.431,0.387,0.523,-4.100000000000001,-0.5,-1.2999999999999998,-3.799999999999997,0.0040000000000000036,-0.9199835585031421,0,2.0,-0.7000000000000002,0.0,2.099999999999998,0.007000000000000006
D'Angelo Russell,PG,24.0,MIN,42,26,28.5,6.7,15.5,0.431,2.9,7.4,0.387,3.8,8.1,0.471,0.523,2.7,3.5,0.765,0.4,2.3,2.6,5.8,1.1,0.4,2.7,1.6,19.0,2021,65,32.0,18.1,3.3,7.1,1.0,0.3,2.5,0.411,0.34,0.502,-0.8999999999999986,1.2999999999999998,0.6999999999999997,3.5,-0.02100000000000002,0.14203006064814236,0,-4.100000000000001,-0.5,-1.2999999999999998,-3.799999999999997,0.0040000000000000036
D.J. Wilson,PF,24.0,HOU,35,1,12.4,1.9,4.8,0.405,0.9,2.5,0.345,1.1,2.3,0.469,0.494,0.5,0.7,0.68,0.6,2.6,3.2,0.7,0.3,0.5,0.6,1.3,5.2,2021,4,13.5,7.5,4.0,1.3,1.3,0.3,0.5,0.733,0.0,0.733,2.3,0.6000000000000001,0.7999999999999998,1.0999999999999996,0.239,0.9001914525428616,1,-0.5999999999999996,-0.40000000000000013,-1.3999999999999995,-5.999999999999998,-0.01200000000000001
Daequan Cook,SF,21.0,MIA,75,4,24.4,3.2,8.6,0.375,2.0,5.3,0.387,1.2,3.3,0.356,0.494,0.7,0.7,0.875,0.3,2.3,2.5,0.9,0.5,0.1,0.6,1.7,9.1,2009,45,15.4,5.0,1.8,1.0,0.3,0.2,0.5,0.32,0.317,0.399,-4.1,0.09999999999999998,-0.7,-8.999999999999998,-0.09499999999999997,-1.1491759565236306,0,0.29999999999999893,-0.4,-0.5,0.0,0.035999999999999976
Daequan Cook,SG,22.0,MIA,45,3,15.4,1.8,5.6,0.32,0.9,2.8,0.317,0.9,2.8,0.323,0.399,0.5,0.6,0.84,0.2,1.6,1.8,1.0,0.3,0.2,0.5,1.1,5.0,2010,43,13.9,5.6,1.7,0.5,0.3,0.0,0.4,0.436,0.422,0.616,0.5999999999999996,-0.5,-0.10000000000000009,-1.5,0.21699999999999997,0.28928223124409663,0,-4.1,0.09999999999999998,-0.7,-8.999999999999998,-0.09499999999999997
Daequan Cook,SG,23.0,OKC,43,0,13.9,1.8,4.2,0.436,1.5,3.6,0.422,0.3,0.6,0.519,0.616,0.4,0.5,0.8,0.2,1.5,1.7,0.5,0.3,0.0,0.4,1.2,5.6,2011,57,17.4,5.5,2.1,0.3,0.4,0.2,0.3,0.368,0.346,0.502,-0.09999999999999964,-0.2,0.40000000000000013,3.4999999999999982,-0.11399999999999999,-0.2822744285918666,0,0.5999999999999996,-0.5,-0.10000000000000009,-1.5,0.21699999999999997
Daequan Cook,SG,24.0,OKC,57,22,17.4,1.9,5.2,0.368,1.4,4.0,0.346,0.5,1.2,0.441,0.502,0.2,0.4,0.636,0.2,1.9,2.1,0.3,0.4,0.2,0.3,1.2,5.5,2012,49,9.0,2.8,1.2,0.4,0.2,0.1,0.3,0.305,0.286,0.383,-2.7,0.10000000000000003,-0.9000000000000001,-8.399999999999999,-0.119,-1.0574004567324233,0,-0.09999999999999964,-0.2,0.40000000000000013,3.4999999999999982,-0.11399999999999999
Daishen Nix,PG,20.0,HOU,57,7,16.0,1.4,4.2,0.342,0.7,2.5,0.286,0.7,1.7,0.423,0.426,0.4,0.6,0.667,0.3,1.4,1.7,2.3,0.5,0.1,1.5,1.0,4.0,2023,15,3.3,1.8,0.2,0.4,0.3,0.0,0.3,0.375,0.353,0.5,-2.2,-1.9,-1.5,-12.7,0.07400000000000001,-1.111304520319264,0,0.7999999999999998,0.5999999999999999,0.30000000000000004,5.1,-0.029000000000000026
Dajuan Wagner,SG,20.0,CLE,44,4,16.1,2.5,7.0,0.366,0.7,2.0,0.36,1.8,5.0,0.368,0.417,0.7,1.1,0.681,0.2,1.1,1.3,1.2,0.6,0.2,0.9,2.0,6.5,2004,11,9.3,4.0,0.2,1.2,0.5,0.0,0.8,0.327,0.192,0.373,-2.5,0.0,-1.1,-6.800000000000001,-0.043999999999999984,-0.8489981866767962,0,-6.9,-1.5999999999999999,-0.3999999999999999,-13.399999999999999,0.0030000000000000027
Dalano Banton,PG,24.0,POR,54,9,19.4,3.7,9.3,0.404,1.1,3.7,0.296,2.6,5.6,0.475,0.463,1.7,2.2,0.783,0.8,2.5,3.3,2.4,0.6,0.4,1.4,1.2,10.3,2024,67,16.7,8.3,2.0,2.4,0.6,0.5,1.3,0.391,0.324,0.462,-2.0,0.0,-1.2999999999999998,-2.6999999999999993,-0.0010000000000000009,-0.5832653634288788,0,7.1000000000000005,0.8999999999999999,1.4,8.499999999999998,0.020000000000000018
Damian Jones,C,24.0,ATL,55,27,16.1,2.2,3.2,0.68,0.0,0.2,0.222,2.2,3.1,0.704,0.685,1.1,1.5,0.738,1.3,2.4,3.7,0.6,0.5,0.7,0.5,2.7,5.6,2020,39,14.0,4.7,3.1,0.7,0.3,0.7,0.7,0.68,0.2,0.684,-0.8999999999999995,0.09999999999999998,-0.6000000000000001,-2.1000000000000014,-0.0010000000000000009,-0.34962468371205024,0,0.1999999999999993,-0.6,0.6000000000000001,-1.0,-0.030999999999999917
Damian Lillard,PG,23.0,POR,82,82,35.8,6.7,15.9,0.424,2.7,6.8,0.394,4.1,9.1,0.447,0.508,4.5,5.2,0.871,0.4,3.1,3.5,5.6,0.8,0.3,2.4,2.4,20.7,2014,82,35.7,21.0,4.6,6.2,1.2,0.3,2.7,0.434,0.343,0.506,0.3000000000000007,0.6000000000000005,1.0999999999999996,-0.09999999999999432,-0.0020000000000000018,0.12003272105253171,0,1.6999999999999993,-0.9000000000000004,0.3999999999999999,-2.8000000000000043,0.007000000000000006
Damian Lillard,PG,24.0,POR,82,82,35.7,7.2,16.6,0.434,2.4,7.0,0.343,4.8,9.6,0.5,0.506,4.2,4.9,0.864,0.6,4.0,4.6,6.2,1.2,0.3,2.7,2.0,21.0,2015,75,35.7,25.1,4.0,6.8,0.9,0.4,3.2,0.419,0.375,0.497,4.100000000000001,0.5999999999999996,-0.5999999999999996,0.0,-0.009000000000000008,0.3241961165537022,0,0.3000000000000007,0.6000000000000005,1.0999999999999996,-0.09999999999999432,-0.0020000000000000018
Damon Jones,PG,23.0,DAL,55,1,11.1,1.5,3.8,0.385,0.7,2.1,0.36,0.7,1.7,0.415,0.483,0.6,0.9,0.667,0.2,0.8,1.0,1.7,0.3,0.0,0.7,0.6,4.2,2000,71,19.9,6.5,1.7,3.2,0.5,0.0,1.1,0.409,0.364,0.51,2.3,1.5000000000000002,0.7,8.799999999999999,0.027000000000000024,0.8057172118536893,1,-1.0,-0.10000000000000009,-0.8,-3.200000000000001,0.01699999999999996
Damon Jones,PG,24.0,VAN,71,10,19.9,2.4,5.9,0.409,1.2,3.3,0.364,1.2,2.6,0.465,0.51,0.5,0.7,0.712,0.2,1.5,1.7,3.2,0.5,0.0,1.1,0.8,6.5,2001,67,16.2,5.1,1.5,2.1,0.3,0.0,0.9,0.401,0.371,0.523,-1.4000000000000004,-1.1,-0.19999999999999996,-3.6999999999999993,0.013000000000000012,-0.586843821445347,0,2.3,1.5000000000000002,0.7,8.799999999999999,0.027000000000000024
Damyean Dotson,SG,24.0,NYK,73,40,27.5,4.0,9.6,0.415,1.7,4.7,0.368,2.2,4.9,0.461,0.506,1.0,1.3,0.745,0.5,3.1,3.6,1.8,0.8,0.1,1.0,1.8,10.7,2019,48,17.4,6.7,1.9,1.2,0.5,0.1,0.4,0.414,0.362,0.516,-3.999999999999999,-0.6000000000000001,-1.7000000000000002,-10.100000000000001,0.010000000000000009,-1.1644215516103753,0,6.6,1.1,1.7000000000000002,16.7,-0.010000000000000009
Daniel Gafford,C,23.0,WAS,72,53,20.1,4.0,5.7,0.693,0.0,0.0,0.0,4.0,5.7,0.695,0.693,1.5,2.1,0.699,2.2,3.5,5.7,0.9,0.4,1.4,0.9,2.4,9.4,2022,78,20.6,9.0,5.6,1.1,0.4,1.3,1.1,0.732,0.0,0.732,-0.40000000000000036,0.20000000000000007,-0.10000000000000053,0.5,0.039000000000000035,-0.04423069753687173,0,2.4000000000000004,0.4,1.4000000000000004,5.500000000000002,0.008999999999999897
Daniel Gafford,C,24.0,WAS,78,47,20.6,3.7,5.1,0.732,0.0,0.0,0.0,3.7,5.1,0.732,0.732,1.6,2.4,0.679,2.1,3.5,5.6,1.1,0.4,1.3,1.1,2.4,9.0,2023,74,24.5,11.0,7.6,1.6,0.9,2.1,1.0,0.725,0.0,0.725,2.0,0.5,2.0,3.8999999999999986,-0.007000000000000006,0.5057981711091672,0,-0.40000000000000036,0.20000000000000007,-0.10000000000000053,0.5,0.039000000000000035
Daniel Gibson,PG,21.0,CLE,58,26,30.4,3.5,8.0,0.432,2.0,4.6,0.44,1.4,3.4,0.421,0.559,1.5,1.8,0.81,0.5,1.8,2.3,2.5,0.8,0.2,1.3,2.8,10.4,2008,75,23.9,7.8,2.1,1.8,0.6,0.2,0.8,0.391,0.382,0.493,-2.6000000000000005,-0.7,-0.19999999999999973,-6.5,-0.06600000000000006,-0.9215955826948862,0,5.800000000000001,1.3,0.7999999999999998,13.899999999999999,0.02200000000000002
Daniel Gibson,PG,22.0,CLE,75,0,23.9,2.7,7.0,0.391,1.4,3.8,0.382,1.3,3.3,0.402,0.493,0.9,1.1,0.767,0.4,1.7,2.1,1.8,0.6,0.2,0.8,2.2,7.8,2009,56,19.1,6.3,1.3,1.3,0.4,0.1,0.6,0.466,0.477,0.599,-1.5,-0.5,-0.8,-4.799999999999997,0.10599999999999998,-0.38078811334253426,0,-2.6000000000000005,-0.7,-0.19999999999999973,-6.5,-0.06600000000000006
Daniel Gibson,PG,23.0,CLE,56,10,19.1,2.2,4.8,0.466,1.3,2.7,0.477,1.0,2.1,0.454,0.599,0.6,0.9,0.694,0.2,1.1,1.3,1.3,0.4,0.1,0.6,1.4,6.3,2010,67,27.8,11.6,2.6,3.0,0.7,0.3,1.2,0.4,0.403,0.489,5.3,1.7,1.3,8.7,-0.10999999999999999,0.9082297291732164,1,-1.5,-0.5,-0.8,-4.799999999999997,0.10599999999999998
Daniel Gibson,SG,24.0,CLE,67,15,27.8,3.9,9.9,0.4,1.8,4.4,0.403,2.2,5.5,0.398,0.489,2.0,2.4,0.822,0.4,2.3,2.6,3.0,0.7,0.3,1.2,2.3,11.6,2011,35,26.2,7.5,2.9,2.2,0.7,0.5,1.3,0.351,0.396,0.462,-4.1,-0.7999999999999998,0.2999999999999998,-1.6000000000000014,-0.02699999999999997,-0.7923774146208596,0,5.3,1.7,1.3,8.7,-0.10999999999999999
Danilo Gallinari,SF,21.0,NYK,81,74,33.9,4.8,11.4,0.423,2.3,6.0,0.381,2.5,5.4,0.469,0.523,3.1,3.8,0.818,0.8,4.1,4.9,1.7,0.9,0.7,1.4,2.4,15.1,2010,62,33.9,15.6,4.9,1.7,0.8,0.4,1.3,0.414,0.352,0.495,0.5,0.0,0.0,0.0,-0.028000000000000025,-0.14319465448896276,0,9.0,1.2,2.9000000000000004,19.2,-0.052999999999999936
Danilo Gallinari,PF-SF,22.0,DEN,62,60,33.9,4.3,10.3,0.414,1.7,4.7,0.352,2.6,5.6,0.467,0.495,5.4,6.3,0.862,1.0,4.0,4.9,1.7,0.8,0.4,1.3,2.3,15.6,2011,43,31.4,14.6,4.7,2.7,1.0,0.5,1.6,0.414,0.328,0.479,-1.0,1.0000000000000002,-0.20000000000000018,-2.5,-0.016000000000000014,-0.2071617431804162,0,0.5,0.0,0.0,0.0,-0.028000000000000025
Danilo Gallinari,SF,23.0,DEN,43,40,31.4,4.5,10.8,0.414,1.4,4.3,0.328,3.1,6.6,0.47,0.479,4.2,4.9,0.871,0.7,4.0,4.7,2.7,1.0,0.5,1.6,2.0,14.6,2012,71,32.5,16.2,5.2,2.5,0.9,0.5,1.6,0.418,0.373,0.495,1.5999999999999996,-0.20000000000000018,0.5,1.1000000000000014,0.016000000000000014,0.13452701493299218,0,-1.0,1.0000000000000002,-0.20000000000000018,-2.5,-0.016000000000000014
Danny Fortson,PF,22.0,DEN,50,38,28.3,3.8,7.7,0.495,0.0,0.1,0.0,3.8,7.7,0.499,0.495,3.4,4.6,0.727,4.2,7.4,11.6,0.6,0.6,0.4,1.5,4.2,11.0,1999,55,15.6,7.6,6.7,0.5,0.4,0.1,1.2,0.528,,0.528,-3.4000000000000004,-0.09999999999999998,-4.8999999999999995,-12.700000000000001,0.03300000000000003,-1.4040850174004764,0,0.8000000000000007,-0.4,6.0,5.699999999999999,0.04199999999999998
Danny Granger,SF,23.0,IND,82,57,34.0,4.9,10.6,0.459,1.3,3.5,0.382,3.5,7.1,0.497,0.522,2.9,3.6,0.803,1.4,3.3,4.6,1.4,0.8,0.7,1.6,3.0,13.9,2007,80,36.0,19.6,6.1,2.1,1.2,1.1,2.1,0.446,0.404,0.517,5.700000000000001,0.7000000000000002,1.5,2.0,-0.0050000000000000044,0.8237948688224491,1,6.4,0.19999999999999996,-0.3000000000000007,11.399999999999999,0.028000000000000025
Danny Granger,SF,24.0,IND,80,80,36.0,6.7,15.1,0.446,2.1,5.3,0.404,4.6,9.8,0.468,0.517,4.0,4.7,0.852,1.2,4.9,6.1,2.1,1.2,1.1,2.1,3.6,19.6,2008,67,36.2,25.8,5.1,2.7,1.0,1.4,2.5,0.447,0.404,0.518,6.199999999999999,0.6000000000000001,-1.0,0.20000000000000284,0.0010000000000000009,0.5344991313458846,0,5.700000000000001,0.7000000000000002,1.5,2.0,-0.0050000000000000044
