Player,Pos,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,next_G,next_MP,next_PTS,next_TRB,next_AST,next_STL,next_BLK,next_TOV,next_FG%,next_3P%,next_eFG%,pts_change,ast_change,trb_change,mp_change,efg_change,breakout_score,Breakout,PTS_growth,AST_growth,TRB_growth,MP_growth,eFG%_growth
Aaron Nesmith,SF,22.0,BOS,52,3,11.0,1.4,3.5,0.396,0.6,2.2,0.27,0.8,1.3,0.612,0.481,0.4,0.5,0.808,0.3,1.4,1.7,0.4,0.4,0.1,0.6,1.3,3.8,2022,73,24.9,10.1,3.8,1.3,0.8,0.5,1.0,0.427,0.366,0.525,6.3,0.9,2.0999999999999996,13.899999999999999,0.04400000000000004,1.4947913181058918,1,-0.9000000000000004,-0.09999999999999998,-1.0999999999999999,-3.5,-0.07000000000000006
Aaron Nesmith,SF,23.0,IND,73,60,24.9,3.5,8.1,0.427,1.6,4.3,0.366,1.9,3.8,0.496,0.525,1.6,1.9,0.838,0.8,2.9,3.8,1.3,0.8,0.5,1.0,3.2,10.1,2023,72,27.7,12.2,3.8,1.5,0.9,0.7,0.9,0.496,0.419,0.606,2.0999999999999996,0.19999999999999996,0.0,2.8000000000000007,0.08099999999999996,0.4083674499676776,0,6.3,0.9,2.0999999999999996,13.899999999999999,0.04400000000000004
Aaron Nesmith,SF,24.0,IND,72,47,27.7,4.4,8.8,0.496,1.9,4.6,0.419,2.4,4.2,0.581,0.606,1.5,1.9,0.781,0.9,2.9,3.8,1.5,0.9,0.7,0.9,3.3,12.2,2024,45,25.0,12.0,4.0,1.2,0.8,0.4,0.8,0.507,0.431,0.617,-0.1999999999999993,-0.30000000000000004,0.20000000000000018,-2.6999999999999993,0.01100000000000001,-0.24606312328517635,0,2.0999999999999996,0.19999999999999996,0.0,2.8000000000000007,0.08099999999999996
Aaron Wiggins,SG,24.0,OKC,70,14,18.5,2.7,5.2,0.512,0.7,1.7,0.393,2.0,3.4,0.573,0.579,0.8,1.0,0.831,1.0,2.0,3.0,1.1,0.6,0.2,0.8,1.6,6.8,2023,78,15.7,6.9,2.4,1.1,0.7,0.2,0.7,0.562,0.492,0.645,0.10000000000000053,0.0,-0.6000000000000001,-2.8000000000000007,0.06600000000000006,-0.1270372773929267,0,-1.5000000000000009,-0.2999999999999998,-0.6000000000000001,-5.699999999999999,0.05399999999999994
Acie Law,PG,24.0,ATL,55,1,10.2,0.9,2.5,0.374,0.2,0.5,0.31,0.8,2.0,0.391,0.406,0.9,1.1,0.817,0.1,0.9,1.1,1.6,0.2,0.1,0.5,0.8,2.9,2009,26,9.0,4.3,0.7,1.0,0.4,0.0,0.7,0.467,0.313,0.5,1.4,-0.6000000000000001,-0.40000000000000013,-1.1999999999999993,0.09399999999999997,0.048286480961926725,0,-1.3000000000000003,-0.3999999999999999,0.10000000000000009,-5.200000000000001,-0.009999999999999953
Adam Morrison,SF,24.0,LAL,52,5,13.7,1.5,4.3,0.359,0.6,1.8,0.333,0.9,2.4,0.378,0.43,0.3,0.4,0.739,0.3,1.2,1.5,0.8,0.2,0.1,0.6,1.5,4.0,2009,31,7.8,2.4,1.0,0.6,0.1,0.1,0.3,0.376,0.238,0.406,-1.6,-0.20000000000000007,-0.5,-5.8999999999999995,-0.023999999999999966,-0.6438353279242223,0,-7.800000000000001,-1.3,-1.4,-16.1,0.008000000000000007
Admiral Schofield,SF,24.0,ORL,38,1,12.3,1.4,3.4,0.419,0.7,2.1,0.329,0.7,1.3,0.56,0.519,0.3,0.4,0.8,0.4,1.9,2.3,0.7,0.1,0.1,0.6,1.5,3.8,2022,37,12.2,4.2,1.7,0.8,0.2,0.1,0.4,0.451,0.324,0.549,0.40000000000000036,0.10000000000000009,-0.5999999999999999,-0.10000000000000142,0.030000000000000027,-0.0724299938496698,0,0.7999999999999998,0.19999999999999996,0.8999999999999999,1.1000000000000014,0.03500000000000003
Al Harrington,PF,20.0,IND,78,38,24.3,3.1,7.0,0.444,0.0,0.1,0.143,3.1,6.9,0.448,0.445,1.3,2.0,0.656,1.5,3.4,4.9,1.7,0.8,0.2,1.9,2.9,7.5,2001,44,29.8,13.1,6.3,1.2,0.9,0.5,1.8,0.475,0.333,0.476,5.6,-0.5,1.3999999999999995,5.5,0.030999999999999972,0.7919870190308361,1,0.9000000000000004,0.8999999999999999,1.7000000000000002,7.199999999999999,-0.02799999999999997
Al Harrington,PF,21.0,IND,44,1,29.8,5.2,11.0,0.475,0.0,0.1,0.333,5.2,10.9,0.476,0.476,2.6,3.3,0.799,2.2,4.1,6.3,1.2,0.9,0.5,1.8,3.8,13.1,2002,82,30.1,12.2,6.2,1.5,0.9,0.4,2.0,0.434,0.283,0.441,-0.9000000000000004,0.30000000000000004,-0.09999999999999964,0.3000000000000007,-0.034999999999999976,-0.25896888260551504,0,5.6,-0.5,1.3999999999999995,5.5,0.030999999999999972
Al Harrington,SF,22.0,IND,82,37,30.1,4.7,10.9,0.434,0.2,0.6,0.283,4.6,10.4,0.442,0.441,2.6,3.3,0.77,1.9,4.3,6.2,1.5,0.9,0.4,2.0,3.4,12.2,2003,79,30.9,13.3,6.4,1.7,1.0,0.3,2.1,0.463,0.273,0.475,1.1000000000000014,0.19999999999999996,0.20000000000000018,0.7999999999999972,0.033999999999999975,0.1486403585893234,0,-0.9000000000000004,0.30000000000000004,-0.09999999999999964,0.3000000000000007,-0.034999999999999976
Al Harrington,PF,23.0,IND,79,15,30.9,5.3,11.5,0.463,0.3,1.0,0.273,5.1,10.5,0.481,0.475,2.3,3.2,0.734,2.1,4.4,6.4,1.7,1.0,0.3,2.1,3.2,13.3,2004,66,38.6,17.5,7.0,3.2,1.3,0.2,3.1,0.459,0.216,0.468,4.199999999999999,1.5000000000000002,0.5999999999999996,7.700000000000003,-0.006999999999999951,0.8833212611719977,1,1.1000000000000014,0.19999999999999996,0.20000000000000018,0.7999999999999972,0.033999999999999975
Al Harrington,SF,24.0,ATL,66,66,38.6,6.9,14.9,0.459,0.2,1.1,0.216,6.6,13.8,0.479,0.468,3.6,5.3,0.672,2.2,4.8,7.0,3.2,1.3,0.2,3.1,3.8,17.5,2005,76,36.6,18.6,6.9,3.1,1.1,0.2,2.6,0.452,0.346,0.479,1.1000000000000014,-0.10000000000000009,-0.09999999999999964,-2.0,0.010999999999999954,-0.08247516711274966,0,4.199999999999999,1.5000000000000002,0.5999999999999996,7.700000000000003,-0.006999999999999951
Al Horford,C,22.0,ATL,67,67,33.5,4.7,8.9,0.525,0.0,0.0,0.0,4.7,8.9,0.526,0.525,2.2,3.1,0.727,2.2,7.1,9.3,2.4,0.8,1.4,1.5,2.8,11.5,2009,81,35.1,14.2,9.9,2.3,0.7,1.1,1.5,0.551,1.0,0.552,2.6999999999999993,-0.10000000000000009,0.5999999999999996,1.6000000000000014,0.027000000000000024,0.3231326039686809,0,1.4000000000000004,0.8999999999999999,-0.3999999999999986,2.1000000000000014,0.026000000000000023
Al Horford,C,23.0,ATL,81,81,35.1,5.8,10.5,0.551,0.0,0.0,1.0,5.8,10.4,0.551,0.552,2.6,3.3,0.789,2.9,7.0,9.9,2.3,0.7,1.1,1.5,2.8,14.2,2010,77,35.1,15.3,9.3,3.5,0.8,1.0,1.5,0.557,0.5,0.558,1.1000000000000014,1.2000000000000002,-0.5999999999999996,0.0,0.006000000000000005,0.1412718343921962,0,2.6999999999999993,-0.10000000000000009,0.5999999999999996,1.6000000000000014,0.027000000000000024
Al Horford,C,24.0,ATL,77,77,35.1,6.7,12.0,0.557,0.0,0.1,0.5,6.6,11.9,0.557,0.558,1.9,2.4,0.798,2.4,7.0,9.3,3.5,0.8,1.0,1.5,2.5,15.3,2011,11,31.6,12.4,7.0,2.2,0.9,1.3,1.5,0.553,0.0,0.553,-2.9000000000000004,-1.2999999999999998,-2.3000000000000007,-3.5,-0.0050000000000000044,-1.0533535243972243,0,1.1000000000000014,1.2000000000000002,-0.5999999999999996,0.0,0.006000000000000005
Al Jefferson,PF,21.0,BOS,59,7,18.0,3.2,6.4,0.499,0.0,0.1,0.0,3.2,6.4,0.504,0.499,1.5,2.3,0.642,1.6,3.4,5.1,0.5,0.5,0.8,1.1,2.8,7.9,2006,69,33.6,16.0,11.0,1.3,0.7,1.5,2.0,0.514,0.0,0.514,8.1,0.8,5.9,15.600000000000001,0.015000000000000013,2.0853069354974423,1,1.2000000000000002,0.2,0.6999999999999993,3.1999999999999993,-0.029000000000000026
